Text,string_City,score_Count People Found Review Helpful,date_Date Created,score_Overall Rating,string_Place Location,string_State,summary
My bracelet claims to be 14k but it turns almost pinkish color. Sus🫤,Boston,0.0,2024-08-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: The bracelet turned a pinkish color despite being advertised as 14k.
Positive Experience: None
Staff Behavior: None mentioned
Product/Service Feedback: The product did not meet expectations in terms of quality.
Suggestions for Improvement: None"
Love love love!! Not only is the jewelry beautiful but the customer service is amazing. The employees are so welcoming and friendly. I would 10/10 recommend!,Boston,0.0,2023-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Beautiful jewelry and amazing customer service.
Staff Behavior: Employees are welcoming and friendly.
Product/Service Feedback: None
Suggestions for Improvement: None"
I found the perfect rings thanks to the help of their staff. They were really helpful in assisting me with different options. Will definitely be back again!,Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Found the perfect rings and will definitely return.
Staff Behavior: Staff was helpful and assisted with different options.
Product/Service Feedback: None
Suggestions for Improvement: None"
This place is awesome! All of the sales associates are so nice and helpful. Its also super clean and has a well thought out floor plan,Boston,0.0,2023-02-10,5,"126 Newbury St, Boston, MA",MA,".

Negative Issue: None
Positive Experience: The reviewer had an overall positive experience at the place.
Staff Behavior: The sales associates were described as nice and helpful.
Product/Service Feedback: The place was described as clean and having a well thought out floor plan.
Suggestions for Improvement: None"
"Such a wonderful shopping experience. The sales team was so helpful, kind, and informative. 10/10 recommend for products and shopping experience.",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

None
Positive Experience: The shopping experience was described as ""wonderful"" and the products were highly recommended with a rating of 10/10.
Staff Behavior: The sales team was praised for being helpful, kind, and knowledgeable.
Product/Service Feedback: The products themselves were highly recommended.
None"
Had a great experience at this Mejuri. Multiple people guided me and helped me find an awesome set of rings.,Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

None
Positive Experience: Great experience at Mejuri, helpful staff and found an awesome set of rings.
Staff Behavior: Multiple staff members were helpful in guiding and assisting me in finding rings.
Product/Service Feedback: The rings purchased were of good quality and selection.
None"
"Phenomenal personalized shopping experience. Chris and the entire team are warm, friendly and amazing!",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"
Negative Issue: None
Positive Experience: Phenomenal personalized shopping experience
Staff Behavior: The entire team, including Chris, was warm, friendly and amazing.
Product/Service Feedback: None
Suggestions for Improvement: None"
Unfortunately very understaffed. Had to wait outside when the store was half empty and decided to go elsewhere,Boston,0.0,2024-05-10,2,"126 Newbury St, Boston, MA",MA,"

Negative Issue: Understaffed, resulting in a long wait time and customer choosing to go elsewhere.
Positive Experience: None
Staff Behavior: None mentioned
Product/Service Feedback: None mentioned
Suggestions for Improvement: Hiring more staff to improve customer experience and reduce wait times."
"Great selection! Awesome stylist, 10/10 experience!",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

None
Positive Experience: Great selection, Awesome stylist, 10/10 experience!
Staff Behavior: Staff were helpful, knowledgeable, and had a great attitude.
Product/Service Feedback: N/A
Suggestions for Improvement: None"
"Great selection, prices, and service. Pleased with the experience.",Boston,1.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

None
Positive Experience: Great selection, prices, and service. Pleased with the experience.
Staff Behavior: Helpful and knowledgeable staff.
Product/Service Feedback: None
Suggestions for Improvement: None"
"Friendly staff, and prices were reasonable.",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Friendly staff, reasonable prices.
Staff Behavior: The staff were friendly.
Product/Service Feedback: None
Suggestions for Improvement: None"
good,Boston,0.0,2024-06-10,5,"126 Newbury St, Boston, MA",MA," place for friends

None
Positive Experience: The reviewer enjoyed the atmosphere and environment for spending time with friends.
Staff Behavior: None
Product/Service Feedback: None
Suggestions for Improvement: None"
Friendly and knowledgeable staff!,Boston,0.0,2024-05-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Friendly and knowledgeable staff
Staff Behavior: Staff exhibited friendliness and knowledge
Product/Service Feedback: None
Suggestions for Improvement: None"
Bad service 🤢,Boston,0.0,2024-02-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: Bad service
Positive Experience: None
Staff Behavior: None
Product/Service Feedback: None
Suggestions for Improvement: None"
Store is closed,Boston,0.0,2025-02-09,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: None
Staff Behavior: None
Product/Service Feedback: None
Suggestions for Improvement: Suggest keeping store hours updated and notifying customers in advance if the store will be closed."
"I really appreciated the time our stylist took to help me pick out pieces for my family. She was able to make suggestions that felt relevant to each person and their lifestyle, and was very knowledgeable with the products. I wish I grabbed their name, but they were great at their job! :)",Brooklyn,0.0,2025-01-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: The stylist was helpful in suggesting pieces for the reviewer's family, and had good knowledge of the products.
Staff Behavior: The stylist was knowledgeable and did a good job.
Product/Service Feedback: None
Suggestions for Improvement: None"
"Easily the worst returns experience Ive ever had. I waited one month for a DHL return driver to come to my house at the dates I provided but they never came on those dates. I had to pay return postage myself using Australia Post only to be told that they wouldnt refund my small return cost, and would charge me another processing fee. I had no choice but to use Australia Post after a month of waiting. Every time I email Mejuri, a different customer experience person would respond who didnt seem to have read the whole email thread. As a result of shopping with Mejuri, Im out of pocket and have had my time wasted. I would not recommend.",Brooklyn,0.0,2025-01-10,1,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: The reviewer had a negative return experience with delays, additional fees, and poor customer service.
Positive Experience: None
Staff Behavior: The reviewer had multiple interactions with different customer experience staff and felt they did not read the whole email thread.
Product/Service Feedback: None
Suggestions for Improvement: The reviewer suggests improving their return process and communication with customers."
Mejuri Williamsburg was so helpful. My stylist Grace took her time helping us. We went in having specific ideas of what we were looking for and with Graces help we were able to get exactly what we needed.,Brooklyn,0.0,2025-01-10,5,"107 N 6th St, Brooklyn, NY",NY,"

None
Positive Experience: The reviewer had a helpful experience at Mejuri Williamsburg with their stylist Grace, who took the time to help them find exactly what they needed.
Staff Behavior: Grace was helpful and took her time assisting the reviewer, who had specific ideas of what they were looking for.
None
None"
"Mejuri Williamsburg is hands down the BEST location in NYC!!! Nayaa and Janaya were so helpful, they made sure I had a great experience!!! Im so happy with my new pieces and will definitely be going back!!!",Brooklyn,0.0,2024-12-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: The reviewer had a great experience at Mejuri Williamsburg and was happy with their new pieces.
Staff Behavior: The staff, specifically Nayaa and Janaya, were very helpful and ensured a great experience for the reviewer.
Product/Service Feedback: The reviewer was happy with their new pieces from Mejuri Williamsburg.
Suggestions for Improvement: None"
Absolutely love coming into the Mejuri Williamsburg store. The selection is great and the staff are the absolute friendliest. They are well-informed and not pushy. Highly recommend coming here!,Brooklyn,0.0,2024-11-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: Great selection and friendly staff at Mejuri Williamsburg store
Staff Behavior: Staff are well-informed and not pushy
Product/Service Feedback: None
Suggestions for Improvement: None"
"Funny how Mejuri stores are popping left and right in every city I own apartments in. I dont know who works harder... my real estate agent or Mejuris commercial real estate team?? Either or, Im just happy I got a local Mejuri store in every city to buy jewelry for my side thing, eh.",Brooklyn,2.0,2024-02-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: Having local Mejuri stores in every city.
Staff Behavior: The reviewer does not mention any interactions with staff.
Product/Service Feedback: The reviewer is satisfied with the selection of jewelry at Mejuri stores.
Suggestions for Improvement: None."
"Matt did three piercings on my ears today and he was so lovely to work with. An obvious expert with all the tips and tricks. He was friendly, kind, and patient. Whether you are getting your first piercing or the next of many, I cant recommend him highly enough!",Brooklyn,1.0,2024-10-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None

Positive Experience: The customer had a positive experience with the piercings and praised the staff member, Matt, for being knowledgeable and friendly.

Staff Behavior: Matt was described as an expert with tips and tricks, friendly, kind, and patient.

Product/Service Feedback: The customer highly recommends Matt for piercings and does not have any specific feedback about the product or service itself.

Suggestions for Improvement: None"
"My daughter had her ears pierced, and it went really smooth. I can recommend Matt highly and without any reservation.",Brooklyn,0.0,2025-01-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: The ear piercing went smoothly and the reviewer highly recommends the service provided by Matt.
Staff Behavior: Matt was described as highly recommended and without any reservation.
Product/Service Feedback: The ear piercing service received positive feedback.
Suggestions for Improvement: None"
"I LOVE the Mejuri Williamsburg store! Everyone is so nice and helpful. I always get great recommendations, and I really appreciate that the associates who have helped me in the past remember my preferences. Also, Im OBSESSED with the jewelry. At this point I have transitioned almost my entire jewelry collection to Mejuri pieces. Well made, extremely stylish, and long lasting. Ill keep coming back over and over again! Highly recommend.",Brooklyn,0.0,2024-07-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: The reviewer loves the Mejuri Williamsburg store and appreciates the helpful and friendly staff. They also love the jewelry and have transitioned their entire collection to Mejuri pieces.
Staff Behavior: The staff at Mejuri Williamsburg are described as nice, helpful, and remembering the reviewer's preferences.
Product/Service Feedback: The reviewer is obsessed with the jewelry and finds it well-made, stylish, and long-lasting.
Suggestions for Improvement: None"
"Matt, the head piercer at this location, was absolutely INCREDIBLE. He walked us through the piercing process with such ease and reliability. He truly made the process of my partner receiving their first piercing fun and safe! I also got to finally visit a storefront in person and grabbed a few earrings for my second holes in my ears and have loved wearing them everyday since. The staff was SO incredibly kind and even helped us take a polaroid of our visit with such joy. It only further enforced in me what I knew about this brand -- the quality and mission are incredible! I cannot wait to come back.",Brooklyn,0.0,2024-05-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: Matt, the head piercer, was incredible and made the piercing process fun and safe. The staff was kind and helpful, and the quality and mission of the brand were apparent.
Staff Behavior: The staff, especially Matt, were kind, helpful, and knowledgeable.
Product/Service Feedback: The piercing process was enjoyable and the jewelry purchased was loved and worn daily.
Suggestions for Improvement: None."
Was with a friend who brought a cute ring from here. Wanted to give them a great review of how friendly the representatives were. Offered me water while I waited. Next time in NY def stopping by here again.,Brooklyn,0.0,2024-09-10,5,"107 N 6th St, Brooklyn, NY",NY,"

None

Positive Experience: The reviewer's friend purchased a cute ring from the store and the representatives were friendly and offered the reviewer water while they waited.

Staff Behavior: The staff were friendly and offered the reviewer water while they waited.

Product/Service Feedback: The reviewer's friend purchased a cute ring from the store.

Suggestions for Improvement: None."
Purchased the heirloom ring while visiting NYC with my mom. Had the best experience with Kara - she was amazing and so patient with my mom and I. I came back after only 20 minutes to buy the ring. Totally recommend this location and be sure to ask for Kara!,Brooklyn,0.0,2024-02-10,5,"107 N 6th St, Brooklyn, NY",NY,"

- Negative Issue: None
- Positive Experience: The reviewer had a great experience purchasing an heirloom ring at the location.
- Staff Behavior: The reviewer specifically mentions having a great interaction with staff member Kara, who was described as amazing and patient.
- Product/Service Feedback: The reviewer was satisfied with the product (heirloom ring) and recommends the location.
- Suggestions for Improvement: None."
I love shopping at Mejuri online to get my wife necklaces and bracelets so we were excited to shop in store for the first time. Its a real shame that the whole duration no one helped us at all while the employee kept asking everyone else if they have been helped out yet. Also odd that the security person inside were following us the whole time and no one else. I guess Ill just stick to shopping at Mejuri online.,Brooklyn,0.0,2024-08-10,2,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: Lack of assistance and surveillance while shopping in store.
Positive Experience: None mentioned.
Staff Behavior: The reviewer felt ignored and not helped by the employees. They also found it odd that security was following them.
Product/Service Feedback: None mentioned.
Suggestions for Improvement: None mentioned."
"I had a great experience at Mejuri Williamsburg!! Geo was my sales associate and he was warm, personable, and very detailed. He found great pieces for me and the experience was wonderful. I love everything I purchased. Thank you Geo for being awesome!!Jason did my piercing and recommended the perfect placement for me. I was indecisive but he was patient and wanted to make sure I had a great experience.",Brooklyn,1.0,2024-02-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: The reviewer had a great experience at Mejuri Williamsburg, with helpful and personable staff.
Staff Behavior: The sales associate, Geo, was described as warm, personable, and detailed. The reviewer also had a positive experience with their piercing specialist, Jason, who was patient and ensured a great experience.
Product/Service Feedback: The reviewer loved everything they purchased and received a recommendation for the perfect placement for their piercing.
Suggestions for Improvement: None."
Had a really fun time at the Mejuri store getting piercings with my mom for our birthdays. The store is beautiful and well stocked and the staff is super friendly. Definitely recommend Mejuri for anyone looking for affordable and stylish jewelry.,Brooklyn,0.0,2024-05-10,5,"107 N 6th St, Brooklyn, NY",NY,"

Negative Issue: None
Positive Experience: Fun shopping experience, beautiful and well-stocked store
Staff Behavior: Super friendly
Product/Service Feedback: Affordable and stylish jewelry
Suggestions for Improvement: None"
